HomeTeam_Arsenal,HomeTeam_Chelsea,HomeTeam_Liverpool,HomeTeam_Man City,HomeTeam_Man United,HomeTeam_Tottenham,AwayTeam_Arsenal,AwayTeam_Chelsea,AwayTeam_Liverpool,AwayTeam_Man City,AwayTeam_Man United,AwayTeam_Tottenham,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,TY,Ref_Card_Style,FTTG,POSOAT,POSOHT,POSOT,Arsenal_Points,Chelsea_Points,Liverpool_Points,Man City_Points,Man United_Points,Tottenham_Points
0,0,1,0,0,0,0,0,0,1,0,0,2012-08-26 01:00:00,Liverpool,Man City,2,2,0.0,1.0,0.0,1.0,A Marriner,15.0,11.0,8.0,5.0,4.0,4.0,10.0,7.0,1.0,0.0,0.0,0.0,1.0,0,4,0.19230769230769232,0.3076923076923077,0.5,0,0,1,1,0,0
0,0,1,0,0,0,1,0,0,0,0,0,2012-09-02 01:00:00,Liverpool,Arsenal,0,2,-1.0,0.0,1.0,-1.0,H Webb,17.0,11.0,8.0,7.0,10.0,2.0,12.0,7.0,2.0,2.0,0.0,0.0,4.0,1,2,0.25,0.2857142857142857,0.5357142857142857,3,0,1,1,0,0
0,0,1,0,0,0,0,0,0,0,1,0,2012-09-23 01:00:00,Liverpool,Man United,1,2,-1.0,0.0,0.0,0.0,M Halsey,13.0,8.0,8.0,4.0,7.0,3.0,14.0,7.0,1.0,2.0,1.0,0.0,3.0,0,3,0.19047619047619047,0.38095238095238093,0.5714285714285714,3,0,1,1,3,0
0,0,0,1,0,0,1,0,0,0,0,0,2012-09-23 01:00:00,Man City,Arsenal,1,1,0.0,1.0,0.0,1.0,M Dean,14.0,10.0,10.0,4.0,9.0,4.0,11.0,7.0,1.0,0.0,0.0,0.0,1.0,0,2,0.16666666666666666,0.4166666666666667,0.5833333333333334,4,0,1,2,3,0
1,0,0,0,0,0,0,1,0,0,0,0,2012-09-29 01:00:00,Arsenal,Chelsea,1,2,-1.0,1.0,1.0,0.0,M Atkinson,14.0,10.0,5.0,5.0,6.0,5.0,14.0,13.0,2.0,3.0,0.0,0.0,5.0,1,3,0.20833333333333334,0.20833333333333334,0.4166666666666667,4,3,1,2,3,0
0,0,0,0,1,0,0,0,0,0,0,1,2012-09-29 01:00:00,Man United,Tottenham,2,3,-1.0,0.0,2.0,-1.0,C Foy,15.0,10.0,8.0,6.0,9.0,5.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0,5,0.24,0.32,0.56,4,3,1,2,3,3
0,0,0,0,0,1,0,1,0,0,0,0,2012-10-20 01:00:00,Tottenham,Chelsea,2,4,-1.0,0.0,1.0,-1.0,M Dean,23.0,11.0,16.0,7.0,7.0,4.0,7.0,8.0,3.0,2.0,0.0,0.0,5.0,1,6,0.20588235294117646,0.47058823529411764,0.6764705882352942,4,6,1,2,3,3
0,1,0,0,0,0,0,0,0,0,1,0,2012-10-28 01:00:00,Chelsea,Man United,2,3,-1.0,1.0,2.0,-1.0,M Clattenburg,14.0,15.0,11.0,7.0,8.0,6.0,13.0,11.0,2.0,2.0,2.0,0.0,4.0,1,5,0.2413793103448276,0.3793103448275862,0.6206896551724138,4,6,1,2,6,3
0,0,0,0,1,0,1,0,0,0,0,0,2012-11-03 00:00:00,Man United,Arsenal,2,1,1.0,1.0,0.0,1.0,M Dean,11.0,7.0,7.0,3.0,6.0,1.0,13.0,13.0,5.0,3.0,0.0,1.0,8.0,1,3,0.16666666666666666,0.3888888888888889,0.5555555555555556,4,6,1,2,9,3
0,1,0,0,0,0,0,0,1,0,0,0,2012-11-11 00:00:00,Chelsea,Liverpool,1,1,0.0,1.0,0.0,1.0,H Webb,12.0,9.0,3.0,5.0,4.0,7.0,12.0,13.0,1.0,3.0,0.0,0.0,4.0,1,2,0.23809523809523808,0.14285714285714285,0.38095238095238093,4,7,2,2,9,3
