HomeTeam_Arsenal,HomeTeam_Chelsea,HomeTeam_Liverpool,HomeTeam_Man City,HomeTeam_Man United,HomeTeam_Tottenham,AwayTeam_Arsenal,AwayTeam_Chelsea,AwayTeam_Liverpool,AwayTeam_Man City,AwayTeam_Man United,AwayTeam_Tottenham,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,TY,Ref_Card_Style,FTTG,POSOAT,POSOHT,POSOT,Arsenal_Points,Chelsea_Points,Liverpool_Points,Man City_Points,Man United_Points,Tottenham_Points
0,0,1,0,0,0,0,1,0,0,0,0,2007-08-19 01:00:00,Liverpool,Chelsea,1,1,0.0,1.0,0.0,1.0,R Styles,18.0,6.0,8.0,2.0,5.0,2.0,11.0,16.0,4.0,5.0,0.0,0.0,9.0,1,2,0.08333333333333333,0.3333333333333333,0.4166666666666667,0,1,1,0,0,0
0,0,0,1,0,0,0,0,0,0,1,0,2007-08-19 01:00:00,Man City,Man United,1,0,1.0,1.0,0.0,1.0,M Clattenburg,6.0,15.0,2.0,6.0,0.0,11.0,8.0,11.0,2.0,2.0,0.0,0.0,4.0,1,1,0.2857142857142857,0.09523809523809523,0.38095238095238093,0,1,1,3,0,0
1,0,0,0,0,0,0,0,0,1,0,0,2007-08-25 01:00:00,Arsenal,Man City,1,0,1.0,0.0,0.0,0.0,C Foy,16.0,8.0,10.0,4.0,8.0,2.0,8.0,9.0,0.0,1.0,0.0,0.0,1.0,0,1,0.16666666666666666,0.4166666666666667,0.5833333333333334,3,1,1,3,0,0
0,0,0,0,1,0,0,0,0,0,0,1,2007-08-26 01:00:00,Man United,Tottenham,1,0,1.0,0.0,0.0,0.0,H Webb,14.0,10.0,5.0,3.0,4.0,4.0,15.0,7.0,2.0,3.0,0.0,0.0,5.0,1,1,0.125,0.20833333333333334,0.3333333333333333,3,1,1,3,3,0
0,0,0,0,0,1,1,0,0,0,0,0,2007-09-15 01:00:00,Tottenham,Arsenal,1,3,-1.0,1.0,0.0,1.0,M Clattenburg,14.0,16.0,5.0,10.0,8.0,4.0,28.0,22.0,2.0,2.0,0.0,0.0,4.0,1,4,0.3333333333333333,0.16666666666666666,0.5,6,1,1,3,3,0
0,0,0,0,1,0,0,1,0,0,0,0,2007-09-23 01:00:00,Man United,Chelsea,2,0,1.0,1.0,0.0,1.0,M Dean,17.0,4.0,9.0,1.0,10.0,1.0,10.0,15.0,2.0,2.0,0.0,1.0,4.0,1,2,0.047619047619047616,0.42857142857142855,0.47619047619047616,6,1,1,3,6,0
0,0,1,0,0,0,0,0,0,0,0,1,2007-10-07 01:00:00,Liverpool,Tottenham,2,2,0.0,1.0,1.0,0.0,M Halsey,21.0,11.0,9.0,6.0,5.0,3.0,18.0,10.0,0.0,1.0,0.0,0.0,1.0,0,4,0.1875,0.28125,0.46875,6,1,2,3,6,1
0,1,0,0,0,0,0,0,0,1,0,0,2007-10-27 01:00:00,Chelsea,Man City,6,0,1.0,2.0,0.0,1.0,M Riley,16.0,7.0,9.0,4.0,9.0,3.0,13.0,12.0,2.0,2.0,0.0,0.0,4.0,1,6,0.17391304347826086,0.391304347826087,0.5652173913043478,6,4,2,3,6,1
0,0,1,0,0,0,1,0,0,0,0,0,2007-10-28 01:00:00,Liverpool,Arsenal,1,1,0.0,1.0,0.0,1.0,H Webb,11.0,11.0,8.0,4.0,4.0,1.0,16.0,10.0,3.0,3.0,0.0,0.0,6.0,1,2,0.18181818181818182,0.36363636363636365,0.5454545454545454,7,4,3,3,6,1
1,0,0,0,0,0,0,0,0,0,1,0,2007-11-03 00:00:00,Arsenal,Man United,2,2,0.0,0.0,1.0,-1.0,H Webb,16.0,10.0,6.0,4.0,3.0,4.0,15.0,15.0,1.0,2.0,0.0,0.0,3.0,0,4,0.15384615384615385,0.23076923076923078,0.38461538461538464,8,4,3,3,7,1
0,0,0,0,0,1,0,0,0,1,0,0,2007-12-09 00:00:00,Tottenham,Man City,2,1,1.0,1.0,0.0,1.0,M Halsey,12.0,7.0,8.0,3.0,2.0,6.0,7.0,13.0,2.0,3.0,0.0,1.0,5.0,1,3,0.15789473684210525,0.42105263157894735,0.5789473684210527,8,4,3,3,7,4
