HomeTeam_Arsenal,HomeTeam_Chelsea,HomeTeam_Liverpool,HomeTeam_Man City,HomeTeam_Man United,HomeTeam_Tottenham,AwayTeam_Arsenal,AwayTeam_Chelsea,AwayTeam_Liverpool,AwayTeam_Man City,AwayTeam_Man United,AwayTeam_Tottenham,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,TY,Ref_Card_Style,FTTG,POSOAT,POSOHT,POSOT,Arsenal_Points,Chelsea_Points,Liverpool_Points,Man City_Points,Man United_Points,Tottenham_Points
0,0,0,0,1,0,0,0,0,0,0,1,2015-08-08 01:00:00,Man United,Tottenham,1,0,1.0,1.0,0.0,1.0,J Moss,9.0,9.0,1.0,4.0,1.0,2.0,12.0,12.0,2.0,3.0,0.0,0.0,5.0,1,1,0.2222222222222222,0.05555555555555555,0.2777777777777778,0,0,0,0,3,0
0,0,0,1,0,0,0,1,0,0,0,0,2015-08-16 01:00:00,Man City,Chelsea,3,0,1.0,1.0,0.0,1.0,M Atkinson,18.0,10.0,8.0,3.0,5.0,1.0,19.0,13.0,4.0,2.0,0.0,0.0,6.0,1,3,0.10714285714285714,0.2857142857142857,0.39285714285714285,0,0,0,3,3,0
1,0,0,0,0,0,0,0,1,0,0,0,2015-08-24 01:00:00,Arsenal,Liverpool,0,0,0.0,0.0,0.0,0.0,M Oliver,19.0,15.0,5.0,8.0,7.0,8.0,2.0,13.0,1.0,4.0,0.0,0.0,5.0,1,0,0.23529411764705882,0.14705882352941177,0.38235294117647056,1,0,1,3,3,0
0,0,0,0,1,0,0,0,1,0,0,0,2015-09-12 01:00:00,Man United,Liverpool,3,1,1.0,0.0,0.0,0.0,M Oliver,9.0,8.0,3.0,4.0,4.0,4.0,6.0,11.0,1.0,2.0,0.0,0.0,3.0,0,4,0.23529411764705882,0.17647058823529413,0.4117647058823529,1,0,1,3,6,0
0,1,0,0,0,0,1,0,0,0,0,0,2015-09-19 01:00:00,Chelsea,Arsenal,2,0,1.0,0.0,0.0,0.0,M Dean,22.0,9.0,7.0,2.0,5.0,5.0,12.0,11.0,3.0,1.0,0.0,2.0,4.0,1,2,0.06451612903225806,0.22580645161290322,0.2903225806451613,1,3,1,3,6,0
0,0,0,0,0,1,0,0,0,1,0,0,2015-09-26 01:00:00,Tottenham,Man City,4,1,1.0,1.0,1.0,0.0,M Clattenburg,15.0,22.0,8.0,8.0,5.0,9.0,17.0,6.0,5.0,1.0,0.0,0.0,6.0,1,5,0.21621621621621623,0.21621621621621623,0.43243243243243246,1,3,1,3,6,3
1,0,0,0,0,0,0,0,0,0,1,0,2015-10-04 01:00:00,Arsenal,Man United,3,0,1.0,3.0,0.0,1.0,A Taylor,12.0,9.0,5.0,5.0,3.0,6.0,8.0,17.0,1.0,3.0,0.0,0.0,4.0,1,3,0.23809523809523808,0.23809523809523808,0.47619047619047616,4,3,1,3,6,3
0,0,0,0,0,1,0,0,1,0,0,0,2015-10-17 01:00:00,Tottenham,Liverpool,0,0,0.0,0.0,0.0,0.0,C Pawson,13.0,12.0,4.0,3.0,8.0,6.0,15.0,11.0,1.0,2.0,0.0,0.0,3.0,0,0,0.12,0.16,0.28,4,3,2,3,6,4
0,0,0,0,1,0,0,0,0,1,0,0,2015-10-25 01:00:00,Man United,Man City,0,0,0.0,0.0,0.0,0.0,M Clattenburg,6.0,6.0,1.0,1.0,6.0,4.0,17.0,13.0,2.0,2.0,0.0,0.0,4.0,1,0,0.08333333333333333,0.08333333333333333,0.16666666666666666,4,3,2,4,7,4
0,1,0,0,0,0,0,0,1,0,0,0,2015-10-31 00:00:00,Chelsea,Liverpool,1,3,-1.0,1.0,1.0,0.0,M Clattenburg,8.0,16.0,2.0,7.0,1.0,7.0,9.0,21.0,1.0,4.0,0.0,0.0,5.0,1,4,0.2916666666666667,0.08333333333333333,0.375,4,3,5,4,7,4
1,0,0,0,0,0,0,0,0,0,0,1,2015-11-08 00:00:00,Arsenal,Tottenham,1,1,0.0,0.0,1.0,-1.0,M Atkinson,10.0,14.0,4.0,4.0,7.0,6.0,12.0,17.0,0.0,1.0,0.0,0.0,1.0,0,2,0.16666666666666666,0.16666666666666666,0.3333333333333333,5,3,5,4,7,5
0,0,0,1,0,0,0,0,1,0,0,0,2015-11-21 00:00:00,Man City,Liverpool,1,4,-1.0,1.0,3.0,-1.0,J Moss,11.0,14.0,3.0,9.0,11.0,5.0,5.0,13.0,0.0,3.0,0.0,0.0,3.0,0,5,0.36,0.12,0.48,5,3,8,4,7,5
0,0,0,0,0,1,0,1,0,0,0,0,2015-11-29 00:00:00,Tottenham,Chelsea,0,0,0.0,0.0,0.0,0.0,M Oliver,9.0,5.0,4.0,1.0,4.0,4.0,14.0,9.0,4.0,2.0,0.0,0.0,6.0,1,0,0.07142857142857142,0.2857142857142857,0.35714285714285715,5,4,8,4,7,6
1,0,0,0,0,0,0,0,0,1,0,0,2015-12-21 00:00:00,Arsenal,Man City,2,1,1.0,2.0,0.0,1.0,A Marriner,8.0,20.0,5.0,6.0,4.0,8.0,5.0,16.0,0.0,2.0,0.0,0.0,2.0,0,3,0.21428571428571427,0.17857142857142858,0.39285714285714285,8,4,8,4,7,6
0,0,0,0,1,0,0,1,0,0,0,0,2015-12-28 00:00:00,Man United,Chelsea,0,0,0.0,0.0,0.0,0.0,M Atkinson,12.0,8.0,2.0,3.0,5.0,3.0,16.0,6.0,4.0,2.0,0.0,0.0,6.0,1,0,0.15,0.1,0.25,8,5,8,4,8,6
0,0,1,0,0,0,1,0,0,0,0,0,2016-01-13 00:00:00,Liverpool,Arsenal,3,3,0.0,2.0,2.0,0.0,M Jones,22.0,14.0,6.0,5.0,9.0,3.0,9.0,7.0,2.0,0.0,0.0,0.0,2.0,0,6,0.1388888888888889,0.16666666666666666,0.3055555555555556,9,5,9,4,8,6
0,0,1,0,0,0,0,0,0,0,1,0,2016-01-17 00:00:00,Liverpool,Man United,0,1,-1.0,0.0,0.0,0.0,M Clattenburg,19.0,7.0,4.0,1.0,5.0,4.0,6.0,18.0,0.0,2.0,0.0,0.0,2.0,0,1,0.038461538461538464,0.15384615384615385,0.19230769230769232,9,5,9,4,11,6
1,0,0,0,0,0,0,1,0,0,0,0,2016-01-24 00:00:00,Arsenal,Chelsea,0,1,-1.0,0.0,1.0,-1.0,M Clattenburg,9.0,12.0,1.0,6.0,6.0,7.0,14.0,13.0,1.0,3.0,1.0,0.0,4.0,1,1,0.2857142857142857,0.047619047619047616,0.3333333333333333,9,8,9,4,11,6
0,1,0,0,0,0,0,0,0,0,1,0,2016-02-07 00:00:00,Chelsea,Man United,1,1,0.0,0.0,0.0,0.0,M Oliver,16.0,17.0,5.0,7.0,10.0,11.0,6.0,9.0,0.0,3.0,0.0,0.0,3.0,0,2,0.21212121212121213,0.15151515151515152,0.36363636363636365,9,9,9,4,12,6
0,0,0,1,0,0,0,0,0,0,0,1,2016-02-14 00:00:00,Man City,Tottenham,1,2,-1.0,0.0,0.0,0.0,M Clattenburg,19.0,6.0,4.0,3.0,7.0,1.0,12.0,17.0,1.0,3.0,0.0,0.0,4.0,1,3,0.12,0.16,0.28,9,9,9,4,12,9
0,0,0,0,1,0,1,0,0,0,0,0,2016-02-28 00:00:00,Man United,Arsenal,3,2,1.0,2.0,1.0,1.0,C Pawson,7.0,13.0,5.0,5.0,2.0,3.0,21.0,15.0,4.0,3.0,0.0,0.0,7.0,1,5,0.25,0.25,0.5,9,9,9,4,15,9
0,0,1,0,0,0,0,0,0,1,0,0,2016-03-02 00:00:00,Liverpool,Man City,3,0,1.0,2.0,0.0,1.0,M Atkinson,11.0,4.0,7.0,2.0,3.0,2.0,14.0,14.0,0.0,1.0,0.0,0.0,1.0,0,3,0.13333333333333333,0.4666666666666667,0.6,9,9,12,4,15,9
0,0,0,0,0,1,1,0,0,0,0,0,2016-03-05 00:00:00,Tottenham,Arsenal,2,2,0.0,0.0,1.0,-1.0,M Oliver,26.0,10.0,11.0,4.0,9.0,2.0,9.0,10.0,2.0,2.0,0.0,1.0,4.0,1,4,0.1111111111111111,0.3055555555555556,0.4166666666666667,10,9,12,4,15,10
0,0,0,1,0,0,0,0,0,0,1,0,2016-03-20 00:00:00,Man City,Man United,0,1,-1.0,0.0,1.0,-1.0,M Oliver,26.0,5.0,2.0,3.0,11.0,5.0,9.0,12.0,1.0,1.0,0.0,0.0,2.0,0,1,0.0967741935483871,0.06451612903225806,0.16129032258064516,10,9,12,4,18,10
0,0,1,0,0,0,0,0,0,0,0,1,2016-04-02 01:00:00,Liverpool,Tottenham,1,1,0.0,0.0,0.0,0.0,J Moss,15.0,18.0,7.0,5.0,12.0,9.0,11.0,11.0,2.0,0.0,0.0,0.0,2.0,0,2,0.15151515151515152,0.21212121212121213,0.36363636363636365,10,9,13,4,18,11
0,0,0,0,0,1,0,0,0,0,1,0,2016-04-10 01:00:00,Tottenham,Man United,3,0,1.0,0.0,0.0,0.0,M Dean,16.0,5.0,8.0,1.0,2.0,7.0,10.0,10.0,3.0,3.0,0.0,0.0,6.0,1,3,0.047619047619047616,0.38095238095238093,0.42857142857142855,10,9,13,4,18,14
0,1,0,0,0,0,0,0,0,1,0,0,2016-04-16 01:00:00,Chelsea,Man City,0,3,-1.0,0.0,1.0,-1.0,M Dean,11.0,11.0,4.0,8.0,11.0,3.0,12.0,15.0,2.0,3.0,1.0,0.0,5.0,1,3,0.36363636363636365,0.18181818181818182,0.5454545454545454,10,9,13,7,18,14
0,1,0,0,0,0,0,0,0,0,0,1,2016-05-02 01:00:00,Chelsea,Tottenham,2,2,0.0,0.0,2.0,-1.0,M Clattenburg,13.0,16.0,5.0,5.0,7.0,8.0,9.0,20.0,3.0,9.0,0.0,0.0,12.0,1,4,0.1724137931034483,0.1724137931034483,0.3448275862068966,10,10,13,7,18,15
0,0,0,1,0,0,1,0,0,0,0,0,2016-05-08 01:00:00,Man City,Arsenal,2,2,0.0,1.0,1.0,0.0,A Taylor,14.0,5.0,3.0,2.0,7.0,2.0,16.0,10.0,2.0,1.0,0.0,0.0,3.0,0,4,0.10526315789473684,0.15789473684210525,0.2631578947368421,11,10,13,8,18,15
0,0,1,0,0,0,0,1,0,0,0,0,2016-05-11 01:00:00,Liverpool,Chelsea,1,1,0.0,0.0,1.0,-1.0,M Oliver,28.0,13.0,9.0,7.0,7.0,3.0,11.0,12.0,3.0,1.0,0.0,0.0,4.0,1,2,0.17073170731707318,0.21951219512195122,0.3902439024390244,11,11,14,8,18,15
