HomeTeam_Arsenal,HomeTeam_Chelsea,HomeTeam_Liverpool,HomeTeam_Man City,HomeTeam_Man United,HomeTeam_Tottenham,AwayTeam_Arsenal,AwayTeam_Chelsea,AwayTeam_Liverpool,AwayTeam_Man City,AwayTeam_Man United,AwayTeam_Tottenham,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,TY,Ref_Card_Style,FTTG,POSOAT,POSOHT,POSOT,Arsenal_Points,Chelsea_Points,Liverpool_Points,Man City_Points,Man United_Points,Tottenham_Points
0,0,0,0,0,1,0,1,0,0,0,0,2017-08-20 01:00:00,Tottenham,Chelsea,1,2,-1.0,0.0,1.0,-1.0,A Taylor,18.0,9.0,6.0,2.0,14.0,3.0,14.0,21.0,3.0,3.0,0.0,0.0,6.0,1,3,0.07407407407407407,0.2222222222222222,0.2962962962962963,0,3,0,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0,2017-08-27 01:00:00,Liverpool,Arsenal,4,0,1.0,2.0,0.0,1.0,C Pawson,18.0,8.0,10.0,0.0,4.0,3.0,6.0,9.0,2.0,4.0,0.0,0.0,6.0,1,4,0.0,0.38461538461538464,0.38461538461538464,0,3,3,0,0,0
0,0,0,1,0,0,0,0,1,0,0,0,2017-09-09 01:00:00,Man City,Liverpool,5,0,1.0,2.0,0.0,1.0,J Moss,13.0,10.0,7.0,3.0,8.0,3.0,10.0,9.0,2.0,2.0,0.0,1.0,4.0,1,5,0.13043478260869565,0.30434782608695654,0.43478260869565216,0,3,3,3,0,0
0,1,0,0,0,0,1,0,0,0,0,0,2017-09-17 01:00:00,Chelsea,Arsenal,0,0,0.0,0.0,0.0,0.0,M Oliver,13.0,11.0,4.0,2.0,5.0,1.0,11.0,15.0,1.0,3.0,1.0,0.0,4.0,1,0,0.08333333333333333,0.16666666666666666,0.25,1,4,3,3,0,0
0,1,0,0,0,0,0,0,0,1,0,0,2017-09-30 01:00:00,Chelsea,Man City,0,1,-1.0,0.0,0.0,0.0,M Atkinson,4.0,17.0,2.0,6.0,4.0,8.0,8.0,13.0,0.0,2.0,0.0,0.0,2.0,0,1,0.2857142857142857,0.09523809523809523,0.38095238095238093,1,4,3,6,0,0
0,0,1,0,0,0,0,0,0,0,1,0,2017-10-14 01:00:00,Liverpool,Man United,0,0,0.0,0.0,0.0,0.0,M Atkinson,19.0,6.0,5.0,1.0,7.0,3.0,7.0,13.0,0.0,2.0,0.0,0.0,2.0,0,0,0.04,0.2,0.24,1,4,4,6,1,0
0,0,0,0,0,1,0,0,1,0,0,0,2017-10-22 01:00:00,Tottenham,Liverpool,4,1,1.0,3.0,1.0,1.0,A Marriner,14.0,12.0,6.0,7.0,3.0,5.0,2.0,8.0,0.0,1.0,0.0,0.0,1.0,0,5,0.2692307692307692,0.23076923076923078,0.5,1,4,4,6,1,3
0,0,0,0,1,0,0,0,0,0,0,1,2017-10-28 01:00:00,Man United,Tottenham,1,0,1.0,0.0,0.0,0.0,J Moss,11.0,13.0,3.0,4.0,6.0,3.0,12.0,14.0,1.0,0.0,0.0,0.0,1.0,0,1,0.16666666666666666,0.125,0.2916666666666667,1,4,4,6,4,3
0,1,0,0,0,0,0,0,0,0,1,0,2017-11-05 00:00:00,Chelsea,Man United,1,0,1.0,0.0,0.0,0.0,A Taylor,18.0,10.0,8.0,2.0,4.0,7.0,16.0,20.0,1.0,3.0,0.0,0.0,4.0,1,1,0.07142857142857142,0.2857142857142857,0.35714285714285715,1,7,4,6,4,3
0,0,0,1,0,0,1,0,0,0,0,0,2017-11-05 00:00:00,Man City,Arsenal,3,1,1.0,1.0,0.0,1.0,M Oliver,9.0,6.0,5.0,3.0,5.0,5.0,15.0,15.0,1.0,6.0,0.0,0.0,7.0,1,4,0.2,0.3333333333333333,0.5333333333333333,1,7,4,9,4,3
