HomeTeam_Arsenal,HomeTeam_Chelsea,HomeTeam_Liverpool,HomeTeam_Man City,HomeTeam_Man United,HomeTeam_Tottenham,AwayTeam_Arsenal,AwayTeam_Chelsea,AwayTeam_Liverpool,AwayTeam_Man City,AwayTeam_Man United,AwayTeam_Tottenham,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,TY,Ref_Card_Style,FTTG,POSOAT,POSOHT,POSOT,Arsenal_Points,Chelsea_Points,Liverpool_Points,Man City_Points,Man United_Points,Tottenham_Points
0,0,0,0,1,0,0,1,0,0,0,0,2013-08-26 01:00:00,Man United,Chelsea,0,0,0.0,0.0,0.0,0.0,M Atkinson,13.0,8.0,3.0,4.0,4.0,1.0,9.0,9.0,0.0,2.0,0.0,0.0,2.0,0,0,0.19047619047619047,0.14285714285714285,0.3333333333333333,0,1,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,1,2013-09-01 01:00:00,Arsenal,Tottenham,1,0,1.0,1.0,0.0,1.0,M Oliver,12.0,14.0,5.0,4.0,3.0,6.0,15.0,14.0,2.0,2.0,0.0,0.0,4.0,1,1,0.15384615384615385,0.19230769230769232,0.34615384615384615,3,1,0,0,1,0
0,0,1,0,0,0,0,0,0,0,1,0,2013-09-01 01:00:00,Liverpool,Man United,1,0,1.0,1.0,0.0,1.0,A Marriner,10.0,10.0,5.0,4.0,2.0,7.0,15.0,15.0,2.0,4.0,0.0,0.0,6.0,1,1,0.2,0.25,0.45,3,1,3,0,1,0
0,0,0,1,0,0,0,0,0,0,1,0,2013-09-22 01:00:00,Man City,Man United,4,1,1.0,2.0,0.0,1.0,H Webb,18.0,14.0,5.0,3.0,8.0,4.0,8.0,12.0,1.0,2.0,0.0,0.0,3.0,0,5,0.09375,0.15625,0.25,3,1,3,3,1,0
0,0,0,0,0,1,0,1,0,0,0,0,2013-09-28 01:00:00,Tottenham,Chelsea,1,1,0.0,1.0,0.0,1.0,M Dean,12.0,11.0,4.0,5.0,4.0,5.0,14.0,14.0,5.0,1.0,0.0,1.0,6.0,1,2,0.21739130434782608,0.17391304347826086,0.391304347826087,3,2,3,3,1,1
0,1,0,0,0,0,0,0,0,1,0,0,2013-10-27 01:00:00,Chelsea,Man City,2,1,1.0,1.0,0.0,1.0,H Webb,12.0,15.0,4.0,6.0,3.0,6.0,11.0,15.0,2.0,3.0,0.0,0.0,5.0,1,3,0.2222222222222222,0.14814814814814814,0.37037037037037035,3,5,3,3,1,1
1,0,0,0,0,0,0,0,1,0,0,0,2013-11-02 00:00:00,Arsenal,Liverpool,2,0,1.0,1.0,0.0,1.0,M Atkinson,12.0,12.0,7.0,4.0,3.0,5.0,11.0,7.0,2.0,1.0,0.0,0.0,3.0,0,2,0.16666666666666666,0.2916666666666667,0.4583333333333333,6,5,3,3,1,1
0,0,0,0,1,0,1,0,0,0,0,0,2013-11-10 00:00:00,Man United,Arsenal,1,0,1.0,1.0,0.0,1.0,M Oliver,5.0,10.0,2.0,2.0,5.0,6.0,12.0,11.0,2.0,3.0,0.0,0.0,5.0,1,1,0.13333333333333333,0.13333333333333333,0.26666666666666666,6,5,3,3,4,1
0,0,0,1,0,0,0,0,0,0,0,1,2013-11-24 00:00:00,Man City,Tottenham,6,0,1.0,3.0,0.0,1.0,M Atkinson,15.0,13.0,10.0,5.0,4.0,7.0,7.0,11.0,1.0,3.0,0.0,0.0,4.0,1,6,0.17857142857142858,0.35714285714285715,0.5357142857142857,6,5,3,6,4,1
0,0,0,0,0,1,0,0,0,0,1,0,2013-12-01 00:00:00,Tottenham,Man United,2,2,0.0,1.0,1.0,0.0,M Dean,10.0,8.0,4.0,3.0,7.0,7.0,9.0,15.0,1.0,3.0,0.0,0.0,4.0,1,4,0.16666666666666666,0.2222222222222222,0.3888888888888889,6,5,3,6,5,2
0,0,0,1,0,0,1,0,0,0,0,0,2013-12-14 00:00:00,Man City,Arsenal,6,3,1.0,2.0,1.0,1.0,M Atkinson,22.0,12.0,7.0,6.0,8.0,8.0,12.0,6.0,2.0,1.0,0.0,0.0,3.0,0,9,0.17647058823529413,0.20588235294117646,0.38235294117647056,6,5,3,9,5,2
0,0,0,0,0,1,0,0,1,0,0,0,2013-12-15 00:00:00,Tottenham,Liverpool,0,5,-1.0,0.0,2.0,-1.0,J Moss,9.0,21.0,0.0,10.0,2.0,9.0,17.0,15.0,3.0,0.0,1.0,0.0,3.0,0,5,0.3333333333333333,0.0,0.3333333333333333,6,5,6,9,5,2
1,0,0,0,0,0,0,1,0,0,0,0,2013-12-23 00:00:00,Arsenal,Chelsea,0,0,0.0,0.0,0.0,0.0,M Dean,7.0,13.0,2.0,4.0,8.0,6.0,7.0,11.0,2.0,1.0,0.0,0.0,3.0,0,0,0.2,0.1,0.3,7,6,6,9,5,2
0,0,0,1,0,0,0,0,1,0,0,0,2013-12-26 00:00:00,Man City,Liverpool,2,1,1.0,2.0,1.0,1.0,L Mason,20.0,12.0,6.0,5.0,7.0,6.0,10.0,9.0,1.0,3.0,0.0,0.0,4.0,1,3,0.15625,0.1875,0.34375,7,6,6,12,5,2
0,1,0,0,0,0,0,0,1,0,0,0,2013-12-29 00:00:00,Chelsea,Liverpool,2,1,1.0,2.0,1.0,1.0,H Webb,11.0,8.0,5.0,4.0,4.0,2.0,17.0,17.0,4.0,1.0,0.0,0.0,5.0,1,3,0.21052631578947367,0.2631578947368421,0.47368421052631576,7,9,6,12,5,2
0,0,0,0,1,0,0,0,0,0,0,1,2014-01-01 00:00:00,Man United,Tottenham,1,2,-1.0,0.0,1.0,-1.0,H Webb,16.0,9.0,6.0,4.0,13.0,2.0,7.0,7.0,2.0,1.0,0.0,0.0,3.0,0,3,0.16,0.24,0.4,7,9,6,12,5,5
0,1,0,0,0,0,0,0,0,0,1,0,2014-01-19 00:00:00,Chelsea,Man United,3,1,1.0,2.0,0.0,1.0,P Dowd,13.0,10.0,6.0,4.0,5.0,4.0,15.0,21.0,1.0,3.0,0.0,1.0,4.0,1,4,0.17391304347826086,0.2608695652173913,0.43478260869565216,7,12,6,12,5,5
0,0,0,0,0,1,0,0,0,1,0,0,2014-01-29 00:00:00,Tottenham,Man City,1,5,-1.0,0.0,1.0,-1.0,A Marriner,4.0,24.0,2.0,10.0,3.0,5.0,11.0,10.0,1.0,4.0,1.0,0.0,5.0,1,6,0.35714285714285715,0.07142857142857142,0.42857142857142855,7,12,6,15,5,5
0,0,0,1,0,0,0,1,0,0,0,0,2014-02-03 00:00:00,Man City,Chelsea,0,1,-1.0,0.0,1.0,-1.0,M Dean,25.0,18.0,3.0,6.0,12.0,6.0,11.0,13.0,3.0,3.0,0.0,0.0,6.0,1,1,0.13953488372093023,0.06976744186046512,0.20930232558139536,7,15,6,15,5,5
0,0,1,0,0,0,1,0,0,0,0,0,2014-02-08 00:00:00,Liverpool,Arsenal,5,1,1.0,4.0,0.0,1.0,M Oliver,22.0,11.0,12.0,6.0,6.0,6.0,14.0,14.0,1.0,2.0,0.0,0.0,3.0,0,6,0.18181818181818182,0.36363636363636365,0.5454545454545454,7,15,9,15,5,5
1,0,0,0,0,0,0,0,0,0,1,0,2014-02-12 00:00:00,Arsenal,Man United,0,0,0.0,0.0,0.0,0.0,M Clattenburg,17.0,6.0,5.0,2.0,5.0,5.0,10.0,14.0,1.0,2.0,0.0,0.0,3.0,0,0,0.08695652173913043,0.21739130434782608,0.30434782608695654,8,15,9,15,6,5
0,1,0,0,0,0,0,0,0,0,0,1,2014-03-08 00:00:00,Chelsea,Tottenham,4,0,1.0,0.0,0.0,0.0,M Oliver,12.0,6.0,4.0,2.0,5.0,4.0,11.0,18.0,2.0,3.0,0.0,1.0,5.0,1,4,0.1111111111111111,0.2222222222222222,0.3333333333333333,8,18,9,15,6,5
0,0,0,0,1,0,0,0,1,0,0,0,2014-03-16 00:00:00,Man United,Liverpool,0,3,-1.0,0.0,1.0,-1.0,M Clattenburg,13.0,17.0,1.0,7.0,3.0,4.0,13.0,12.0,1.0,4.0,1.0,0.0,5.0,1,3,0.23333333333333334,0.03333333333333333,0.26666666666666666,8,18,12,15,6,5
0,0,0,0,0,1,1,0,0,0,0,0,2014-03-16 00:00:00,Tottenham,Arsenal,0,1,-1.0,0.0,1.0,-1.0,M Dean,17.0,7.0,2.0,3.0,5.0,2.0,18.0,11.0,5.0,3.0,0.0,0.0,8.0,1,1,0.125,0.08333333333333333,0.20833333333333334,11,18,12,15,6,5
0,1,0,0,0,0,1,0,0,0,0,0,2014-03-22 00:00:00,Chelsea,Arsenal,6,0,1.0,4.0,0.0,1.0,A Marriner,21.0,12.0,11.0,5.0,7.0,1.0,14.0,8.0,0.0,1.0,0.0,1.0,1.0,0,6,0.15151515151515152,0.3333333333333333,0.48484848484848486,11,21,12,15,6,5
0,0,0,0,1,0,0,0,0,1,0,0,2014-03-25 00:00:00,Man United,Man City,0,3,-1.0,0.0,1.0,-1.0,M Oliver,10.0,13.0,4.0,4.0,5.0,8.0,12.0,8.0,2.0,2.0,0.0,0.0,4.0,1,3,0.17391304347826086,0.17391304347826086,0.34782608695652173,11,21,12,18,6,5
