HomeTeam_Arsenal,HomeTeam_Chelsea,HomeTeam_Liverpool,HomeTeam_Man City,HomeTeam_Man United,HomeTeam_Tottenham,AwayTeam_Arsenal,AwayTeam_Chelsea,AwayTeam_Liverpool,AwayTeam_Man City,AwayTeam_Man United,AwayTeam_Tottenham,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,TY,Ref_Card_Style,FTTG,POSOAT,POSOHT,POSOT,Arsenal_Points,Chelsea_Points,Liverpool_Points,Man City_Points,Man United_Points,Tottenham_Points
0,0,0,1,0,0,0,0,1,0,0,0,2014-08-25 01:00:00,Man City,Liverpool,3,1,H,1.0,0.0,H,M Oliver,9.0,11.0,4.0,3.0,6.0,7.0,13.0,7.0,1.0,1.0,0.0,0.0,2.0,0,4,0.15,0.2,0.35,0,0,0,3,0,0
0,0,0,0,0,1,0,0,1,0,0,0,2014-08-31 01:00:00,Tottenham,Liverpool,0,3,A,0.0,1.0,A,P Dowd,7.0,17.0,1.0,8.0,7.0,3.0,14.0,11.0,0.0,4.0,0.0,0.0,4.0,1,3,0.3333333333333333,0.041666666666666664,0.375,0,0,3,3,0,0
1,0,0,0,0,0,0,0,0,1,0,0,2014-09-13 01:00:00,Arsenal,Man City,2,2,D,0.0,1.0,A,M Clattenburg,15.0,15.0,6.0,8.0,0.0,3.0,11.0,15.0,3.0,4.0,0.0,0.0,7.0,1,4,0.26666666666666666,0.2,0.4666666666666667,1,0,3,4,0,0
0,0,0,1,0,0,0,1,0,0,0,0,2014-09-21 01:00:00,Man City,Chelsea,1,1,D,0.0,0.0,D,M Dean,16.0,6.0,4.0,2.0,14.0,2.0,16.0,12.0,3.0,4.0,1.0,0.0,7.0,1,2,0.09090909090909091,0.18181818181818182,0.2727272727272727,1,1,3,5,0,0
1,0,0,0,0,0,0,0,0,0,0,1,2014-09-27 01:00:00,Arsenal,Tottenham,1,1,D,0.0,0.0,D,M Oliver,16.0,6.0,6.0,4.0,15.0,5.0,7.0,16.0,3.0,6.0,0.0,0.0,9.0,1,2,0.18181818181818182,0.2727272727272727,0.45454545454545453,2,1,3,5,0,1
0,1,0,0,0,0,1,0,0,0,0,0,2014-10-05 01:00:00,Chelsea,Arsenal,2,0,H,1.0,0.0,H,M Atkinson,5.0,10.0,3.0,0.0,2.0,2.0,14.0,10.0,4.0,3.0,0.0,0.0,7.0,1,2,0.0,0.2,0.2,2,4,3,5,0,1
0,0,0,1,0,0,0,0,0,0,0,1,2014-10-18 01:00:00,Man City,Tottenham,4,1,H,2.0,1.0,H,J Moss,20.0,19.0,12.0,7.0,3.0,4.0,11.0,9.0,1.0,2.0,0.0,1.0,3.0,0,5,0.1794871794871795,0.3076923076923077,0.48717948717948717,2,4,3,8,0,1
0,0,0,0,1,0,0,1,0,0,0,0,2014-10-26 01:00:00,Man United,Chelsea,1,1,D,0.0,0.0,D,P Dowd,19.0,9.0,7.0,4.0,4.0,7.0,13.0,14.0,3.0,5.0,0.0,1.0,8.0,1,2,0.14285714285714285,0.25,0.39285714285714285,2,5,3,8,1,1
0,0,0,1,0,0,0,0,0,0,1,0,2014-11-02 00:00:00,Man City,Man United,1,0,H,0.0,0.0,D,M Oliver,16.0,9.0,6.0,2.0,7.0,4.0,15.0,9.0,3.0,1.0,0.0,1.0,4.0,1,1,0.08,0.24,0.32,2,5,3,11,1,1
0,0,1,0,0,0,0,1,0,0,0,0,2014-11-08 00:00:00,Liverpool,Chelsea,1,2,A,1.0,1.0,D,A Taylor,12.0,15.0,4.0,5.0,5.0,7.0,9.0,12.0,2.0,5.0,0.0,0.0,7.0,1,3,0.18518518518518517,0.14814814814814814,0.3333333333333333,2,8,3,11,1,1
1,0,0,0,0,0,0,0,0,0,1,0,2014-11-22 00:00:00,Arsenal,Man United,1,2,A,0.0,0.0,D,M Dean,23.0,12.0,9.0,2.0,11.0,5.0,12.0,8.0,2.0,1.0,0.0,0.0,3.0,0,3,0.05714285714285714,0.2571428571428571,0.3142857142857143,2,8,3,11,4,1
0,1,0,0,0,0,0,0,0,0,0,1,2014-12-03 00:00:00,Chelsea,Tottenham,3,0,H,2.0,0.0,H,M Dean,12.0,10.0,8.0,2.0,1.0,6.0,9.0,9.0,1.0,1.0,0.0,0.0,2.0,0,3,0.09090909090909091,0.36363636363636365,0.45454545454545453,2,11,3,11,4,1
0,0,0,0,1,0,0,0,1,0,0,0,2014-12-14 00:00:00,Man United,Liverpool,3,0,H,2.0,0.0,H,M Atkinson,11.0,19.0,6.0,9.0,2.0,7.0,13.0,14.0,4.0,3.0,0.0,0.0,7.0,1,3,0.3,0.2,0.5,2,11,3,11,7,1
0,0,1,0,0,0,1,0,0,0,0,0,2014-12-21 00:00:00,Liverpool,Arsenal,2,2,D,1.0,1.0,D,M Oliver,27.0,7.0,10.0,3.0,10.0,6.0,6.0,14.0,0.0,3.0,1.0,0.0,3.0,0,4,0.08823529411764706,0.29411764705882354,0.38235294117647056,3,11,4,11,7,1
0,0,0,0,0,1,0,0,0,0,1,0,2014-12-28 00:00:00,Tottenham,Man United,0,0,D,0.0,0.0,D,J Moss,9.0,9.0,4.0,5.0,3.0,6.0,11.0,19.0,2.0,4.0,0.0,0.0,6.0,1,0,0.2777777777777778,0.2222222222222222,0.5,3,11,4,11,8,2
