HomeTeam_Arsenal,HomeTeam_Chelsea,HomeTeam_Liverpool,HomeTeam_Man City,HomeTeam_Man United,HomeTeam_Tottenham,AwayTeam_Arsenal,AwayTeam_Chelsea,AwayTeam_Liverpool,AwayTeam_Man City,AwayTeam_Man United,AwayTeam_Tottenham,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,TY,Ref_Card_Style,FTTG,POSOAT,POSOHT,POSOT,Arsenal_Points,Chelsea_Points,Liverpool_Points,Man City_Points,Man United_Points,Tottenham_Points
0,1,0,0,0,0,0,0,0,1,0,0,2006-08-20 01:00:00,Chelsea,Man City,3,0,1.0,2.0,0.0,1.0,S Bennett,10.0,5.0,4.0,2.0,5.0,2.0,7.0,15.0,1.0,3.0,0.0,1.0,4.0,1,3,0.13333333333333333,0.26666666666666666,0.4,0,3,0,0,0,0
0,0,0,1,0,0,1,0,0,0,0,0,2006-08-26 01:00:00,Man City,Arsenal,1,0,1.0,1.0,0.0,1.0,U Rennie,10.0,17.0,3.0,6.0,2.0,8.0,16.0,8.0,1.0,1.0,0.0,0.0,2.0,0,1,0.2222222222222222,0.1111111111111111,0.3333333333333333,0,3,0,3,0,0
0,0,0,0,1,0,0,0,0,0,0,1,2006-09-09 01:00:00,Man United,Tottenham,1,0,1.0,1.0,0.0,1.0,M Riley,10.0,9.0,5.0,4.0,5.0,4.0,12.0,17.0,2.0,2.0,0.0,0.0,4.0,1,1,0.21052631578947367,0.2631578947368421,0.47368421052631576,0,3,0,3,3,0
0,1,0,0,0,0,0,0,1,0,0,0,2006-09-17 01:00:00,Chelsea,Liverpool,1,0,1.0,1.0,0.0,1.0,M Riley,4.0,9.0,3.0,6.0,1.0,3.0,13.0,17.0,3.0,2.0,1.0,0.0,5.0,1,1,0.46153846153846156,0.23076923076923078,0.6923076923076923,0,6,0,3,3,0
0,0,0,0,1,0,1,0,0,0,0,0,2006-09-17 01:00:00,Man United,Arsenal,0,1,-1.0,0.0,0.0,0.0,G Poll,17.0,14.0,9.0,7.0,10.0,5.0,11.0,11.0,2.0,2.0,0.0,0.0,4.0,1,1,0.22580645161290322,0.2903225806451613,0.5161290322580645,3,6,0,3,3,0
0,0,1,0,0,0,0,0,0,0,0,1,2006-09-23 01:00:00,Liverpool,Tottenham,3,0,1.0,0.0,0.0,0.0,H Webb,14.0,5.0,6.0,1.0,6.0,0.0,12.0,9.0,1.0,0.0,0.0,0.0,1.0,0,3,0.05263157894736842,0.3157894736842105,0.3684210526315789,3,6,3,3,3,0
0,0,0,0,1,0,0,0,1,0,0,0,2006-10-22 01:00:00,Man United,Liverpool,2,0,1.0,1.0,0.0,1.0,G Poll,10.0,13.0,8.0,5.0,5.0,5.0,14.0,21.0,1.0,3.0,0.0,0.0,4.0,1,2,0.21739130434782608,0.34782608695652173,0.5652173913043478,3,6,3,3,6,0
0,0,0,0,0,1,0,1,0,0,0,0,2006-11-05 00:00:00,Tottenham,Chelsea,2,1,1.0,1.0,1.0,0.0,G Poll,8.0,17.0,3.0,10.0,7.0,10.0,15.0,15.0,3.0,5.0,0.0,1.0,8.0,1,3,0.4,0.12,0.52,3,6,3,3,6,3
1,0,0,0,0,0,0,0,1,0,0,0,2006-11-12 00:00:00,Arsenal,Liverpool,3,0,1.0,1.0,0.0,1.0,M Clattenburg,7.0,10.0,7.0,4.0,2.0,6.0,7.0,12.0,2.0,3.0,0.0,0.0,5.0,1,3,0.23529411764705882,0.4117647058823529,0.6470588235294118,6,6,3,3,6,3
0,0,1,0,0,0,0,0,0,1,0,0,2006-11-25 00:00:00,Liverpool,Man City,1,0,1.0,0.0,0.0,0.0,R Styles,12.0,6.0,6.0,2.0,8.0,2.0,9.0,20.0,2.0,1.0,0.0,0.0,3.0,0,1,0.1111111111111111,0.3333333333333333,0.4444444444444444,6,6,6,3,6,3
0,0,0,0,1,0,0,1,0,0,0,0,2006-11-26 00:00:00,Man United,Chelsea,1,1,0.0,1.0,0.0,1.0,H Webb,8.0,13.0,5.0,7.0,3.0,2.0,16.0,12.0,1.0,3.0,0.0,0.0,4.0,1,2,0.3333333333333333,0.23809523809523808,0.5714285714285714,6,7,6,3,7,3
1,0,0,0,0,0,0,0,0,0,0,1,2006-12-02 00:00:00,Arsenal,Tottenham,3,0,1.0,2.0,0.0,1.0,G Poll,6.0,7.0,5.0,4.0,3.0,2.0,15.0,15.0,1.0,2.0,0.0,0.0,3.0,0,3,0.3076923076923077,0.38461538461538464,0.6923076923076923,9,7,6,3,7,3
0,0,0,0,1,0,0,0,0,1,0,0,2006-12-09 00:00:00,Man United,Man City,3,1,1.0,2.0,0.0,1.0,G Poll,20.0,15.0,11.0,7.0,7.0,4.0,15.0,19.0,1.0,3.0,0.0,1.0,4.0,1,4,0.2,0.3142857142857143,0.5142857142857142,9,7,6,3,10,3
0,1,0,0,0,0,1,0,0,0,0,0,2006-12-10 00:00:00,Chelsea,Arsenal,1,1,0.0,0.0,0.0,0.0,A Wiley,20.0,11.0,7.0,4.0,4.0,5.0,16.0,16.0,2.0,2.0,0.0,0.0,4.0,1,2,0.12903225806451613,0.22580645161290322,0.3548387096774194,10,8,6,3,10,3
0,0,0,1,0,0,0,0,0,0,0,1,2006-12-17 00:00:00,Man City,Tottenham,1,2,-1.0,0.0,2.0,-1.0,R Styles,10.0,11.0,4.0,7.0,6.0,3.0,13.0,11.0,1.0,0.0,0.0,0.0,1.0,0,3,0.3333333333333333,0.19047619047619047,0.5238095238095238,10,8,6,3,10,6
0,0,0,0,0,1,0,0,1,0,0,0,2006-12-30 00:00:00,Tottenham,Liverpool,0,1,-1.0,0.0,1.0,-1.0,M Halsey,9.0,10.0,3.0,5.0,2.0,3.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,0,1,0.2631578947368421,0.15789473684210525,0.42105263157894735,10,8,9,3,10,6
