HomeTeam_Arsenal,HomeTeam_Chelsea,HomeTeam_Liverpool,HomeTeam_Man City,HomeTeam_Man United,HomeTeam_Tottenham,AwayTeam_Arsenal,AwayTeam_Chelsea,AwayTeam_Liverpool,AwayTeam_Man City,AwayTeam_Man United,AwayTeam_Tottenham,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,TY,Ref_Card_Style,FTTG,POSOAT,POSOHT,POSOT,Arsenal_Points,Chelsea_Points,Liverpool_Points,Man City_Points,Man United_Points,Tottenham_Points
0,0,0,0,1,0,0,1,0,0,0,0,2019-08-11 17:30:00,Man United,Chelsea,4,0,1.0,1.0,0.0,1.0,A Taylor,11.0,18.0,5.0,7.0,3.0,5.0,15.0,13.0,3.0,4.0,0.0,0.0,7.0,1,4,0.2413793103448276,0.1724137931034483,0.41379310344827586,0,0,0,0,3,0
0,0,0,1,0,0,0,0,0,0,0,1,2019-08-17 18:30:00,Man City,Tottenham,2,2,0.0,2.0,1.0,1.0,M Oliver,30.0,3.0,10.0,2.0,13.0,2.0,14.0,4.0,1.0,0.0,0.0,0.0,1.0,0,4,0.06060606060606061,0.30303030303030304,0.36363636363636365,0,0,0,1,3,1
0,0,1,0,0,0,1,0,0,0,0,0,2019-08-24 18:30:00,Liverpool,Arsenal,3,1,1.0,1.0,0.0,1.0,A Taylor,25.0,9.0,5.0,3.0,6.0,4.0,8.0,5.0,1.0,1.0,0.0,0.0,2.0,0,4,0.08823529411764706,0.14705882352941177,0.23529411764705882,0,0,3,1,3,1
1,0,0,0,0,0,0,0,0,0,0,1,2019-09-01 17:30:00,Arsenal,Tottenham,2,2,0.0,1.0,2.0,-1.0,M Atkinson,26.0,13.0,8.0,9.0,11.0,6.0,13.0,19.0,3.0,5.0,0.0,0.0,8.0,1,4,0.23076923076923078,0.20512820512820512,0.4358974358974359,1,0,3,1,3,2
0,1,0,0,0,0,0,0,1,0,0,0,2019-09-22 17:30:00,Chelsea,Liverpool,1,2,-1.0,0.0,2.0,-1.0,M Oliver,13.0,6.0,2.0,3.0,6.0,4.0,8.0,13.0,3.0,3.0,0.0,0.0,6.0,1,3,0.15789473684210525,0.10526315789473684,0.2631578947368421,1,0,6,1,3,2
0,0,0,0,1,0,1,0,0,0,0,0,2019-09-30 21:00:00,Man United,Arsenal,1,1,0.0,1.0,0.0,1.0,K Friend,16.0,10.0,4.0,5.0,8.0,7.0,18.0,13.0,4.0,2.0,0.0,0.0,6.0,1,2,0.19230769230769232,0.15384615384615385,0.34615384615384615,2,0,6,1,4,2
0,0,0,0,1,0,0,0,1,0,0,0,2019-10-20 17:30:00,Man United,Liverpool,1,1,0.0,1.0,0.0,1.0,M Atkinson,7.0,10.0,2.0,4.0,3.0,1.0,6.0,14.0,0.0,1.0,0.0,0.0,1.0,0,2,0.23529411764705882,0.11764705882352941,0.35294117647058826,2,0,7,1,5,2
0,0,1,0,0,0,0,0,0,0,0,1,2019-10-27 16:30:00,Liverpool,Tottenham,2,1,1.0,0.0,1.0,-1.0,A Taylor,21.0,11.0,13.0,4.0,8.0,3.0,9.0,11.0,3.0,3.0,0.0,0.0,6.0,1,3,0.125,0.40625,0.53125,2,0,10,1,5,2
0,0,1,0,0,0,0,0,0,1,0,0,2019-11-10 16:30:00,Liverpool,Man City,3,1,1.0,2.0,0.0,1.0,M Oliver,12.0,18.0,5.0,3.0,4.0,13.0,10.0,5.0,0.0,2.0,0.0,0.0,2.0,0,4,0.1,0.16666666666666666,0.26666666666666666,2,0,13,1,5,2
0,0,0,1,0,0,0,1,0,0,0,0,2019-11-23 17:30:00,Man City,Chelsea,2,1,1.0,2.0,1.0,1.0,M Atkinson,15.0,11.0,4.0,2.0,8.0,2.0,5.0,9.0,1.0,1.0,0.0,0.0,2.0,0,3,0.07692307692307693,0.15384615384615385,0.23076923076923078,2,0,13,4,5,2
0,0,0,0,1,0,0,0,0,0,0,1,2019-12-04 19:30:00,Man United,Tottenham,2,1,1.0,1.0,1.0,0.0,P Tierney,12.0,8.0,7.0,5.0,4.0,3.0,9.0,9.0,0.0,1.0,0.0,0.0,1.0,0,3,0.25,0.35,0.6,2,0,13,4,8,2
0,0,0,1,0,0,0,0,0,0,1,0,2019-12-07 17:30:00,Man City,Man United,1,2,-1.0,0.0,2.0,-1.0,A Taylor,22.0,11.0,5.0,7.0,16.0,3.0,10.0,10.0,3.0,2.0,0.0,0.0,5.0,1,3,0.21212121212121213,0.15151515151515152,0.36363636363636365,2,0,13,4,11,2
1,0,0,0,0,0,0,0,0,1,0,0,2019-12-15 16:30:00,Arsenal,Man City,0,3,-1.0,0.0,3.0,-1.0,P Tierney,6.0,14.0,1.0,7.0,3.0,3.0,9.0,24.0,1.0,4.0,0.0,0.0,5.0,1,3,0.35,0.05,0.4,2,0,13,7,11,2
0,0,0,0,0,1,0,1,0,0,0,0,2019-12-22 16:30:00,Tottenham,Chelsea,0,2,-1.0,0.0,2.0,-1.0,A Taylor,5.0,13.0,1.0,3.0,3.0,5.0,9.0,11.0,4.0,3.0,1.0,0.0,7.0,1,2,0.16666666666666666,0.05555555555555555,0.2222222222222222,2,3,13,7,11,2
1,0,0,0,0,0,0,1,0,0,0,0,2019-12-29 14:00:00,Arsenal,Chelsea,1,2,-1.0,1.0,0.0,1.0,C Pawson,7.0,13.0,2.0,4.0,2.0,3.0,13.0,19.0,5.0,4.0,0.0,0.0,9.0,1,3,0.2,0.1,0.3,2,6,13,7,11,2
1,0,0,0,0,0,0,0,0,0,1,0,2020-01-01 20:00:00,Arsenal,Man United,2,0,1.0,2.0,0.0,1.0,C Kavanagh,10.0,10.0,4.0,4.0,1.0,4.0,11.0,15.0,2.0,0.0,0.0,0.0,2.0,0,2,0.2,0.2,0.4,5,6,13,7,11,2
