HomeTeam_Arsenal,HomeTeam_Chelsea,HomeTeam_Liverpool,HomeTeam_Man City,HomeTeam_Man United,HomeTeam_Tottenham,AwayTeam_Arsenal,AwayTeam_Chelsea,AwayTeam_Liverpool,AwayTeam_Man City,AwayTeam_Man United,AwayTeam_Tottenham,DateTime,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,TY,Ref_Card_Style,FTTG,POSOAT,POSOHT,POSOT,Arsenal_Points,Chelsea_Points,Liverpool_Points,Man City_Points,Man United_Points,Tottenham_Points
0,0,0,0.0,0,1,0,0,0,1.0,0,0,2020-02-02 16:30:00,2,0,1.0,0.0,0.0,0.0,3.0,18.0,3.0,5.0,2.0,6.0,8.0,14.0,2.0,3.0,0.0,1.0,5.0,1,2,0.238095238095238,0.1428571428571428,0.3809523809523809,6,7,19,7,11,5
0,1,0,0.0,0,0,0,0,0,0.0,1,0,2020-02-17 20:00:00,0,2,-1.0,0.0,1.0,-1.0,17.0,9.0,1.0,3.0,9.0,8.0,11.0,11.0,4.0,3.0,0.0,0.0,7.0,1,2,0.1153846153846153,0.0384615384615384,0.1538461538461538,6,7,19,7,14,5
0,1,0,0.0,0,0,0,0,0,0.0,0,1,2020-02-22 12:30:00,2,1,1.0,1.0,0.0,1.0,17.0,5.0,7.0,3.0,3.0,5.0,14.0,14.0,1.0,2.0,0.0,0.0,3.0,0,3,0.1363636363636363,0.3181818181818182,0.4545454545454545,6,10,19,7,14,5
0,0,0,0.0,1,0,0,0,0,1.0,0,0,2020-03-08 16:30:00,2,0,1.0,1.0,0.0,1.0,12.0,7.0,6.0,2.0,2.0,11.0,11.0,9.0,2.0,4.0,0.0,0.0,6.0,1,2,0.1052631578947368,0.3157894736842105,0.4210526315789473,6,10,19,7,17,5
0,0,0,0.0,1,0,0,1,0,0.0,0,0,2013-08-26 01:00:00,0,0,0.0,0.0,0.0,0.0,13.0,8.0,3.0,4.0,4.0,1.0,9.0,9.0,0.0,2.0,0.0,0.0,2.0,0,0,0.1904761904761904,0.1428571428571428,0.3333333333333333,0,1,0,0,1,0
1,0,0,0.0,0,0,0,0,0,0.0,0,1,2013-09-01 01:00:00,1,0,1.0,1.0,0.0,1.0,12.0,14.0,5.0,4.0,3.0,6.0,15.0,14.0,2.0,2.0,0.0,0.0,4.0,1,1,0.1538461538461538,0.1923076923076923,0.3461538461538461,3,1,0,0,1,0
0,0,1,0.0,0,0,0,0,0,0.0,1,0,2013-09-01 01:00:00,1,0,1.0,1.0,0.0,1.0,10.0,10.0,5.0,4.0,2.0,7.0,15.0,15.0,2.0,4.0,0.0,0.0,6.0,1,1,0.2,0.25,0.45,3,1,3,0,1,0
0,0,0,1.0,0,0,0,0,0,0.0,1,0,2013-09-22 01:00:00,4,1,1.0,2.0,0.0,1.0,18.0,14.0,5.0,3.0,8.0,4.0,8.0,12.0,1.0,2.0,0.0,0.0,3.0,0,5,0.09375,0.15625,0.25,3,1,3,3,1,0
0,0,0,0.0,0,1,0,1,0,0.0,0,0,2013-09-28 01:00:00,1,1,0.0,1.0,0.0,1.0,12.0,11.0,4.0,5.0,4.0,5.0,14.0,14.0,5.0,1.0,0.0,1.0,6.0,1,2,0.217391304347826,0.1739130434782608,0.391304347826087,3,2,3,3,1,1
0,1,0,0.0,0,0,0,0,0,1.0,0,0,2013-10-27 01:00:00,2,1,1.0,1.0,0.0,1.0,12.0,15.0,4.0,6.0,3.0,6.0,11.0,15.0,2.0,3.0,0.0,0.0,5.0,1,3,0.2222222222222222,0.1481481481481481,0.3703703703703703,3,5,3,3,1,1
1,0,0,0.0,0,0,0,0,1,0.0,0,0,2013-11-02 00:00:00,2,0,1.0,1.0,0.0,1.0,12.0,12.0,7.0,4.0,3.0,5.0,11.0,7.0,2.0,1.0,0.0,0.0,3.0,0,2,0.1666666666666666,0.2916666666666667,0.4583333333333333,6,5,3,3,1,1
