HomeTeam_Arsenal,HomeTeam_Chelsea,HomeTeam_Liverpool,HomeTeam_Man City,HomeTeam_Man United,HomeTeam_Tottenham,AwayTeam_Arsenal,AwayTeam_Chelsea,AwayTeam_Liverpool,AwayTeam_Man City,AwayTeam_Man United,AwayTeam_Tottenham,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,TY,Ref_Card_Style,FTTG,POSOAT,POSOHT,POSOT,Arsenal_Points,Chelsea_Points,Liverpool_Points,Man City_Points,Man United_Points,Tottenham_Points
0,1,0,0,0,0,0,0,0,0,0,1,2008-08-31 01:00:00,Chelsea,Tottenham,1,1,0.0,1.0,1.0,0.0,H Webb,12.0,6.0,3.0,6.0,5.0,8.0,10.0,13.0,3.0,0.0,0.0,0.0,3.0,0,2,0.3333333333333333,0.16666666666666666,0.5,0,1,0,0,0,1
0,0,1,0,0,0,0,0,0,0,1,0,2008-09-13 01:00:00,Liverpool,Man United,2,1,1.0,1.0,1.0,0.0,H Webb,16.0,7.0,11.0,3.0,5.0,4.0,10.0,18.0,0.0,3.0,0.0,1.0,3.0,0,3,0.13043478260869565,0.4782608695652174,0.6086956521739131,0,1,3,0,0,1
0,0,0,1,0,0,0,1,0,0,0,0,2008-09-13 01:00:00,Man City,Chelsea,1,3,-1.0,1.0,1.0,0.0,M Halsey,13.0,18.0,7.0,8.0,8.0,5.0,14.0,10.0,0.0,1.0,0.0,1.0,1.0,0,4,0.25806451612903225,0.22580645161290322,0.4838709677419355,0,4,3,0,0,1
0,1,0,0,0,0,0,0,0,0,1,0,2008-09-21 01:00:00,Chelsea,Man United,1,1,0.0,0.0,1.0,-1.0,M Riley,20.0,13.0,13.0,8.0,7.0,4.0,15.0,18.0,1.0,7.0,0.0,0.0,8.0,1,2,0.24242424242424243,0.3939393939393939,0.6363636363636364,0,5,3,0,1,1
0,0,0,1,0,0,0,0,1,0,0,0,2008-10-05 01:00:00,Man City,Liverpool,2,3,-1.0,2.0,0.0,1.0,P Walton,7.0,14.0,5.0,7.0,1.0,7.0,11.0,12.0,1.0,1.0,1.0,0.0,2.0,0,5,0.3333333333333333,0.23809523809523808,0.5714285714285714,0,5,6,0,1,1
0,1,0,0,0,0,0,0,1,0,0,0,2008-10-26 01:00:00,Chelsea,Liverpool,0,1,-1.0,0.0,1.0,-1.0,H Webb,14.0,8.0,5.0,3.0,4.0,2.0,17.0,13.0,3.0,3.0,0.0,0.0,6.0,1,1,0.13636363636363635,0.22727272727272727,0.36363636363636365,0,5,9,0,1,1
1,0,0,0,0,0,0,0,0,0,0,1,2008-10-29 00:00:00,Arsenal,Tottenham,4,4,0.0,1.0,1.0,0.0,M Atkinson,20.0,9.0,12.0,6.0,9.0,1.0,8.0,17.0,1.0,4.0,0.0,0.0,5.0,1,8,0.20689655172413793,0.41379310344827586,0.6206896551724138,1,5,9,0,1,2
0,0,0,0,0,1,0,0,1,0,0,0,2008-11-01 00:00:00,Tottenham,Liverpool,2,1,1.0,0.0,1.0,-1.0,P Dowd,8.0,14.0,4.0,6.0,4.0,4.0,18.0,13.0,1.0,2.0,0.0,0.0,3.0,0,3,0.2727272727272727,0.18181818181818182,0.45454545454545453,1,5,9,0,1,5
1,0,0,0,0,0,0,0,0,0,1,0,2008-11-08 00:00:00,Arsenal,Man United,2,1,1.0,1.0,0.0,1.0,H Webb,11.0,17.0,7.0,9.0,5.0,6.0,16.0,7.0,3.0,2.0,0.0,0.0,5.0,1,3,0.32142857142857145,0.25,0.5714285714285714,4,5,9,0,1,5
0,0,0,1,0,0,0,0,0,0,0,1,2008-11-09 00:00:00,Man City,Tottenham,1,2,-1.0,1.0,1.0,0.0,M Dean,9.0,14.0,7.0,9.0,4.0,5.0,12.0,13.0,1.0,2.0,2.0,1.0,3.0,0,3,0.391304347826087,0.30434782608695654,0.6956521739130435,4,5,9,0,1,8
